Formation,Plate_ID,Terrane,AgeUpper,AgeLower,AgeNominal,Q,N(n),Dec,Inc,a95,A95,Block,k,CPlat,CPlon,SLat,SLon,PLat,PLon,RefLat,RefLon,Reference,Comment
Uppermost Mamainse Point volcanics -N,1000,Laurentia,1101,1095,1098,,,,,,2.5,,,,,47.1,275.3,31.2,183.2,46.78,267.9,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",
"Mamainse Point volcanics -C (lower N, upper R)",1000,Laurentia,1101,1100,1101,,,,,,4.9,,,,,47.1,275.3,36.1,189.7,46.78,267.9,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",
Upper Osler volcanics -R,1000,Laurentia,1107,1103,1105,,,,,,3.7,,,,,48.7,272.4,42.5,201.6,46.78,267.9,"Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.",
Lower Mamainse Point volcanics -R2,1000,Laurentia,1107,1103,1105,,,,,,4.5,,,,,47.1,275.3,37.5,205.2,46.78,267.9,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",
Middle Osler volcanics -R,1000,Laurentia,1110,1103,1107,,,,,,8.2,,,,,48.8,272.4,42.7,211.3,46.78,267.9,"Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.",
Lower Osler volcanics -R,1000,Laurentia,1111,1105,1108,,,,,,4.8,,,,,48.8,272.3,40.9,218.6,46.78,267.9,"Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.",
Lowermost Mamainse Point volcanics -R1,1000,Laurentia,1111,1105,1108,,,,,,5.3,,,,,47.1,275.3,49.5,227,46.78,267.9,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",
MEAN Nipigon sills and lavas,1000,Laurentia,1115,1107,1111,,,,,,4,,,,,49.1,270.9,47.2,217.8,46.78,267.9,LULEÅ WORKING GROUP MEAN,
Abitibi Dykes,1000,Laurentia,1143,1139,1141,,,,,,14.1,,,,,48,279,48.8,215.5,46.78,267.9,"Ernst,R.E., Buchan,K.L.",
NE-SW Trending Dyke Swarm,1000,Laurentia-Greenland,1165,1155,1160,,,,,,5.7,,,,,61.2,314.5,33.4,230.8,46.78,267.9,"Piper, J.D.A.",
South Qoroq Intr.,1000,Laurentia-Greenland,1165,1161,1163,,,,,,13.1,,,,,61.2,314.5,41.8,215.9,46.78,267.9,"Piper, J.D.A.",
Giant Gabbro Dykes,1000,Laurentia-Greenland,1165,1161,1163,,,,,,9.4,,,,,60.9,313.7,42.3,226.1,46.78,267.9,"Piper, J.D.A.",
Hviddal Giant Dyke,1000,Laurentia-Greenland,1189,1179,1184,,,,,,9.6,,,,,60.9,313.7,33.2,215.3,46.78,267.9,"Piper, J.D.A.",
Narssaq Gabbro,1000,Laurentia-Greenland,1189,1179,1184,,,,,,9.7,,,,,60.9,313.8,31.6,225.4,46.78,267.9,"Piper, J.D.A.",
Sudbury Dykes Combined,1000,Laurentia,1242,1232,1237,,,,,,2.5,,,,,46.3,278.6,-2.5,192.8,46.78,267.9,"Palmer,H.C., Merz,B.A., Hayatsu,A.",
West Gardar Lamprophyre Dykes,1000,Laurentia-Greenland,1249,1227,1238,,,,,,7.2,,,,,61.2,311.7,3.2,206.4,46.78,267.9,"Piper, J.D.A., Stearn, J.E.F.",
West Gardar Dolerite Dykes,1000,Laurentia-Greenland,1251,1236,1243.5,,,,,,6.6,,,,,61.2,311.7,8.7,201.7,46.78,267.9,"Piper, J.D.A., Stearn, J.E.F.",
Mackenzie dykes grand mean,1000,Laurentia,1269,1265,1267,,,,,,5,,,,,65,250,4,190,46.78,267.9,Buchan et al.,
Kungnat Ring Dyke,1000,Laurentia-Greenland,1277,1273,1275,,,,,,3.2,,,,,61.2,311.7,3.4,198.7,46.78,267.9,"Piper, J.D.A., Stearn, J.E.F.",
North Qoroq Intr.,1000,Laurentia-Greenland,1276,1274,1275,,,,,,8.3,,,,,61.2,314.5,13.2,202.6,46.78,267.9,"Piper, J.D.A.",
Nain Anorthosite,1000,Laurentia,1320,1290,1305,,,,,,2.2,,,,,56.5,298.2,11.7,206.7,46.78,267.9,"Murthy,G.S.",
Victoria Fjord dolerite dykes,1000,Laurentia-Greenland,1384,1380,1382,,,,,,4.3,,,,,81.5,315.3,10.3,231.7,46.78,267.9,"Abrahamsen, N., Van der Voo, R.",
Midsommersoe Dolerite,1000,Laurentia-Greenland,1384,1380,1382,,,,,,5.1,,,,,81.8,327.8,6.9,242,46.78,267.9,"Marcussen, C., Abrahamsen, N.",
Zig-Zag Dal Basalts,1000,Laurentia-Greenland,1384,1380,1382,,,,,,3.8,,,,,81.2,334.8,12,242.8,46.78,267.9,"Marcussen, C., Abrahamsen, N.",
"Pilcher, Garnet Range and Libby Formations",1000,Laurentia,1407,1362,1385,,,,,,7.7,,,,,46.7,246.4,-19.2,215.3,46.78,267.9,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",
McNamara Formation,1000,Laurentia,1407,1395,1401,,,,,,6.7,,,,,46.9,246.4,-13.5,208.3,46.78,267.9,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",
Mistastin Pluton,1000,Laurentia,1450,1400,1425,,,,,,7.6,,,,,55.6,296.3,-1,201.5,46.78,267.9,"Fahrig,W.F., Jones,D.L.",
MEAN Rocky Mountain intrusions,1000,Laurentia,1445,1415,1430,,,,,,9.7,,,,,40.3,253.8,-11.9,217.4,46.78,267.9,LULEÅ WORKING GROUP MEAN,
Purcell Lava,1000,Laurentia,1450,1436,1443,,,,,,4.8,,,,,49.4,245.1,-23.6,215.6,46.78,267.9,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",
Tobacco Root Dykes - A combined,1000,Laurentia,1497,1399,1448,,,,,,10.5,,,,,47.4,247.6,8.7,216.1,46.78,267.9,"Harlan, S.S., Geissman, J.W., Snee, L.W.",
Snowslip Formation,1000,Laurentia,1463,1436,1450,,,,,,3.5,,,,,47.9,245.9,-24.9,210.2,46.78,267.9,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",
Spokane Formation,1000,Laurentia,1470,1445,1458,,,,,,4.7,,,,,48.2,246.8,-24.8,215.5,46.78,267.9,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",
Michikamau Intrusion Combined,1000,Laurentia,1465,1455,1460,,,,,,4.7,,,,,54.5,296,-1.5,217.5,46.78,267.9,"Emslie,R.F., Irving,E., Park,J.K.",
St.Francois Mountains Acidic Rocks,1000,Laurentia,1492,1460,1476,,,,,,6.1,,,,,37.5,269.5,-13.2,219,46.78,267.9,"Meert, J.G., Stuckey, W.",
Western Channel Diabase,1000,Laurentia,1593,1587,1590,,,,,,6.6,,,,,66.4,242.2,9,245,46.78,267.9,"Irving,E., Donaldson,J.A., Park,J.K.",
Melville Bugt diabase dykes,1000,Laurentia-Greenland,1638,1628,1633,,,,,,8.7,,,,,75.6,299,5,273.8,46.78,267.9,"Denyszyn, S.W., Davis, D.W., Halls, H.C.",
Cleaver Dykes,1000,Laurentia,1745,1736,1741,,,,,,6.1,,,,,67.5,242,19.4,276.7,46.78,267.9,"Irving,E., Baker,J., M. Hamilton,M., Wynne,P.J.",
Dubawnt Group,1000,Laurentia,1820,1750,1785,,,,,,8,,,,,64.1,265.6,7,277,46.78,267.9,"Park,J.K., Irving,E., Donaldson,J.A.",
Martin Formation,1000,Laurentia-Rae,1822,1814,1818,,,,,,8.5,,,,,59.6,251.4,-9,288,46.78,267.9,"Evans,M.E., Bingham,D.K.",
MEAN Pearson A/Peninsular sill/Kilohigok basin sill,1000,Laurentia-Slave,1874,1866,1870,,,,,,6,,,,,65,250,-22,269,46.78,267.9,"Mitchell,R.N., Hoffman,P.F., Evans,D.A.D.",
MOLSON B+C2,1000,Laurentia-Superior(West),1884,1873,1879,,,,,,3.8,,,,,55,262,28.9,218,46.78,267.9,"Evans,D.A.D., Halls,H.C.",
MINTO,1000,Laurentia-Superior(East),2000,1996,1998,,,,,,13.1,,,,,57,285,38.7,171.5,46.78,267.9,"Evans,D.A.D., Halls,H.C.",
Lac de Gras dykes,1000,Laurentia-Slave,2031,2021,2026,,,,,,7.1,,,,,64.4,249.6,11.8,267.9,46.78,267.9,"Buchan,K.L., LeCheminant,A.N., van Breemen,O.",
LAC ESPRIT,1000,Laurentia-Superior(East),2070,2068,2069,,,,,,6.4,,,,,53,282,62,170.5,46.78,267.9,"Evans,D.A.D., Halls,H.C.",
FORT FRANCES,1000,Laurentia-Superior(West),2081,2072,2077,,,,,,6.1,,,,,48,266,42.8,184.6,46.78,267.9,"Evans,D.A.D., Halls,H.C.",
CAUCHON LAKE,1000,Laurentia-Superior(West),2093,2089,2091,,,,,,7.7,,,,,56,263,53.8,180.9,46.78,267.9,"Evans,D.A.D., Halls,H.C.",
MARATHON R,1000,Laurentia-Superior(West),2106,2101,2104,,,,,,7.5,,,,,49,275,55.1,182.2,46.78,267.9,"Halls,H.C., Davis,D.W., Stott,G.M., Ernst,R.E., Hamilton,M.A.",
MARATHON N,1000,Laurentia-Superior(West),2126,2121,2124,,,,,,7.7,,,,,49,275,45.4,198.2,46.78,267.9,"Halls,H.C., Davis,D.W., Stott,G.M., Ernst,R.E., Hamilton,M.A.",
BISCOTASING,1000,Laurentia-Superior(East),2172,2167,2170,,,,,,7,,,,,48,280,26,223.9,46.78,267.9,"Evans,D.A.D., Halls,H.C.",
Dogrib dykes,1000,Laurentia-Slave,2195,2191,2193,,,,,,7,,,,,62.5,245.5,-31,315,46.78,267.9,"Mitchell, R.N., Bleeker, W., Van Breemen, O., LeCheminant, A.N., Peng, P., Nilsson, M.K.M., Evans, D.A.D.",
NIPISSING N1,1000,Laurentia-Superior(East),2221,2213,2217,,,,,,10,,,,,47,279,-17,272,46.78,267.9,Buchan et al.,
SENNETERRE,1000,Laurentia-Superior(East),2224,2212,2218,,,,,,6,,,,,49,283,-15.3,284.3,46.78,267.9,Buchan et al.,
Malley dykes,1000,Laurentia-Slave,2233,2229,2231,,,,,,6.7,,,,,64.2,249.8,-50.8,310,46.78,267.9,"Buchan, K., LeCheminant, A.N., van Breemen, O.",
MATACHEWAN N,1000,Laurentia-Superior(East),2449,2443,2446,,,,,,2.4,,,,,48,278,-52.3,239.5,46.78,267.9,"Evans,D.A.D., Halls,H.C.",
MATACHEWAN R,1000,Laurentia-Superior(East),2489,2443,2466,,,,,,1.6,,,,,48,278,-44.1,238.3,46.78,267.9,"Evans,D.A.D., Halls,H.C.",
Stillwater Complex - C2,1000,Laurentia-Wyoming,2709,2701,2705,,,,,,4,,,,,45.2,249.2,-83.6,335.8,46.78,267.9,"Selkin, P.A., Gee, J.S., Meurer, W.P., Hemming, S.R.",
